Myriel,10
Napoleon,1
MlleBaptistine,3
MmeMagloire,3
CountessDeLo,1
Geborand,1
Champtercier,1
Cravatte,1
Count,1
OldMan,1
Valjean,28
Labarre,1
Marguerite,1
MmeDeR,1
Isabeau,1
Gervais,1
Listolier,7
Tholomyes,7
Fameuil,7
Blacheville,7
Favourite,7
Dahlia,7
Zephine,7
Fantine,12
MmeThenardier,8
Javert,15
Thenardier,12
Cosette,6
Eponine,10
Anzelma,2
Gavroche,23
Marius,15
Toussaint,3
Fauchelevent,5
Champmathieu,5
Brevet,4
Chenildieu,4
Cochepaille,4
Simplice,4
Mabeuf,3
Brujon,7
Babet,8
Gueulemer,8
Claquesous,8
Montparnasse,8
Woman1,3
Woman2,3
MotherInnocent,2
Gribier,1
Scaufflaire,1
Perpetue,2
Child1,1
Child2,1
Enjolras,10
Combeferre,10
Prouvaire,9
Feuilly,10
Courfeyrac,10
Bahorel,10
Bossuet,12
Joly,10
Grantaire,9
Gillenormand,5
MmeHucheloup,2
MlleGillenormand,4
MmePontmercy,3
MlleVaubois,3
LtGillenormand,2
