Myriel,high
Napoleon,low
MlleBaptistine,low
MmeMagloire,low
CountessDeLo,low
Geborand,low
Champtercier,low
Cravatte,low
Count,low
OldMan,low
Valjean,high
Labarre,low
Marguerite,low
MmeDeR,low
Isabeau,low
Gervais,low
Listolier,high
Tholomyes,high
Fameuil,high
Blacheville,high
Favourite,high
Dahlia,high
Zephine,high
Fantine,high
MmeThenardier,high
Javert,high
Thenardier,high
Cosette,high
Eponine,high
Anzelma,low
Gavroche,high
Marius,high
Toussaint,low
Fauchelevent,high
Champmathieu,high
Brevet,low
Chenildieu,low
Cochepaille,low
Simplice,low
Mabeuf,low
Brujon,high
Babet,high
Gueulemer,high
Claquesous,high
Montparnasse,high
Woman1,low
Woman2,low
MotherInnocent,low
Gribier,low
Scaufflaire,low
Perpetue,low
Child1,low
Child2,low
Enjolras,high
Combeferre,high
Prouvaire,high
Feuilly,high
Courfeyrac,high
Bahorel,high
Bossuet,high
Joly,high
Grantaire,high
Gillenormand,high
MmeHucheloup,low
MlleGillenormand,low
MmePontmercy,low
MlleVaubois,low
LtGillenormand,low
